id;pos_picking;model;parent_part_no;suffix_master;child_part_no;qty_picking;status
1;SMALL1_L7;D74A;71200-BYC00;T9;71812-BZ340-C0;1;Active
2;SMALL1_L7;D74A;71200-BYC00;T9;72129-BZ110;2;Active
3;SMALL1_L7;D74A;71200-BYC00;T9;73230-BZE40;1;Active
4;SMALL1_L7;D74A;71200-BYC00;T9;72552-B1010;1;Active
5;SMALL1_L7;D74A;71200-BYC00;T9;72992-BZ050-C0;1;Active
6;SMALL1_L7;D74A;71200-BYC00;T9;72526-BZ110-C0;1;Active
7;SMALL1_L7;D74A;71200-BYC00;T9;71832-BZ100-C0;1;Active
8;SMALL1_L7;D74A;71200-BYC10;7F, 7G, T6, T8;71812-BZ340-C0;1;Active
9;SMALL1_L7;D74A;71200-BYC10;7F, 7G, T6, T8;72129-BZ110;2;Active
10;SMALL1_L7;D74A;71200-BYC10;7F, 7G, T6, T8;73230-BZE40;1;Active
11;SMALL1_L7;D74A;71200-BYC10;7F, 7G, T6, T8;72552-B1010;1;Active
12;SMALL1_L7;D74A;71200-BYC10;7F, 7G, T6, T8;72992-BZ050-C0;1;Active
13;SMALL1_L7;D74A;71200-BYC10;7F, 7G, T6, T8;72526-BZ110-C0;1;Active
14;SMALL1_L7;D74A;71200-BYC10;7F, 7G, T6, T8;71832-BZ100-C0;1;Active
15;SMALL1_L7;D74A;71200-BYC30;7A, 7C, 7E;71812-BZ340-C0;1;Active
16;SMALL1_L7;D74A;71200-BYC30;7A, 7C, 7E;72129-BZ110;2;Active
17;SMALL1_L7;D74A;71200-BYC30;7A, 7C, 7E;73230-BZE40;1;Active
18;SMALL1_L7;D74A;71200-BYC30;7A, 7C, 7E;72552-B1010;1;Active
19;SMALL1_L7;D74A;71200-BYC30;7A, 7C, 7E;72992-BZ050-C0;1;Active
20;SMALL1_L7;D74A;71200-BYC30;7A, 7C, 7E;72526-BZ110-C0;1;Active
21;SMALL1_L7;D74A;71200-BYC30;7A, 7C, 7E;71832-BZ100-C0;1;Active
22;SMALL1_L7;D74A;71200-BYC30;7A, 7C, 7E;71930-B2030-C0;1;Active
23;SMALL1_L7;D74A;71200-BYC30;7A, 7C, 7E;71931-B2030-C0;1;Active
24;SMALL1_L7;D74A;71200-BYC30;7A, 7C, 7E;71910-BZF90;1;Active
25;SMALL1_L7;D74A;71200-BYJ70;7B, 7D;71812-BZ340-C0;1;Active
26;SMALL1_L7;D74A;71200-BYJ70;7B, 7D;72129-BZ110;2;Active
27;SMALL1_L7;D74A;71200-BYJ70;7B, 7D;73230-BZE40;1;Active
28;SMALL1_L7;D74A;71200-BYJ70;7B, 7D;72552-B1010;1;Active
29;SMALL1_L7;D74A;71200-BYJ70;7B, 7D;72992-BZ050-C0;1;Active
30;SMALL1_L7;D74A;71200-BYJ70;7B, 7D;72526-BZ110-C0;1;Active
31;SMALL1_L7;D74A;71200-BYJ70;7B, 7D;71832-BZ100-C0;1;Active
32;SMALL1_L7;D74A;71200-BYJ70;7B, 7D;71930-B2030-C0;1;Active
33;SMALL1_L7;D74A;71200-BYJ70;7B, 7D;71931-B2030-C0;1;Active
34;SMALL1_L7;D74A;71200-BYJ70;7B, 7D;71910-BZM00;1;Active
35;SMALL1_L7;D74A;71200-BYC30;68, 69, T5, ZJ, ZK;71812-BZ340-C0;1;Active
36;SMALL1_L7;D74A;71200-BYC30;68, 69, T5, ZJ, ZK;72129-BZ110;2;Active
37;SMALL1_L7;D74A;71200-BYC30;68, 69, T5, ZJ, ZK;73230-BZE40;1;Active
38;SMALL1_L7;D74A;71200-BYC30;68, 69, T5, ZJ, ZK;72552-B1010;1;Active
39;SMALL1_L7;D74A;71200-BYC30;68, 69, T5, ZJ, ZK;72992-BZ050-C0;1;Active
40;SMALL1_L7;D74A;71200-BYC30;68, 69, T5, ZJ, ZK;72526-BZ110-C0;1;Active
41;SMALL1_L7;D74A;71200-BYC30;68, 69, T5, ZJ, ZK;71832-BZ100-C0;1;Active
42;SMALL1_L7;D74A;71200-BYC30;68, 69, T5, ZJ, ZK;71930-B2030-C0;1;Active
43;SMALL1_L7;D74A;71200-BYC30;68, 69, T5, ZJ, ZK;71931-B2030-C0;1;Active
44;SMALL1_L7;D74A;71200-BYC30;68, 69, T5, ZJ, ZK;71910-BZF90;1;Active
45;SMALL1_L7;D74A;71200-BYC50;WA, WB, WC, XK, ZC, ZE, ZF, ZG, ZH, 9F;71812-BZ340-C0;1;Active
46;SMALL1_L7;D74A;71200-BYC50;WA, WB, WC, XK, ZC, ZE, ZF, ZG, ZH, 9F;72993-BZ030;1;Active
47;SMALL1_L7;D74A;71200-BYC50;WA, WB, WC, XK, ZC, ZE, ZF, ZG, ZH, 9F;73230-BZE30;1;Active
48;SMALL1_L7;D74A;71200-BYC50;WA, WB, WC, XK, ZC, ZE, ZF, ZG, ZH, 9F;72129-BZ110;2;Active
49;SMALL1_L7;D74A;71200-BYC50;WA, WB, WC, XK, ZC, ZE, ZF, ZG, ZH, 9F;72552-B1010;1;Active
50;SMALL1_L7;D74A;71200-BYC50;WA, WB, WC, XK, ZC, ZE, ZF, ZG, ZH, 9F;72992-BZ050-C0;1;Active
51;SMALL1_L7;D74A;71200-BYC50;WA, WB, WC, XK, ZC, ZE, ZF, ZG, ZH, 9F;72526-BZ110-C0;1;Active
52;SMALL1_L7;D74A;71200-BYC50;WA, WB, WC, XK, ZC, ZE, ZF, ZG, ZH, 9F;71832-BZ100-C0;1;Active
53;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;72266-BZ020-C0;1;Active
54;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;71812-BZ350-C0;1;Active
55;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;71868-BZ020-C0;1;Active
56;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;72462-BZ090-C0;1;Active
57;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;72413-BZ120-C0;1;Active
58;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;72991-BZ090;1;Active
59;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;72129-BZ110;2;Active
60;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;72413-BZ150-C0;1;Active
61;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;73230-BZE50;1;Active
62;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;72552-B1010;1;Active
63;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;72992-BZ050-C0;1;Active
64;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;72526-BZ110-C0;1;Active
65;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;71930-B2030-C0;1;Active
66;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;71931-B2030-C0;1;Active
67;SMALL1_L7;D74A;71200-BYC70;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;71910-BZF90;1;Active
68;SMALL1_L7;D74A;71200-BYG70;64, 67;71812-BZ340-C0;1;Active
69;SMALL1_L7;D74A;71200-BYG70;64, 67;73230-BZE30;1;Active
70;SMALL1_L7;D74A;71200-BYG70;64, 67;72991-BZ090;1;Active
71;SMALL1_L7;D74A;71200-BYG70;64, 67;72129-BZ110;2;Active
72;SMALL1_L7;D74A;71200-BYG70;64, 67;72552-B1010;1;Active
73;SMALL1_L7;D74A;71200-BYG70;64, 67;72992-BZ050-C0;1;Active
74;SMALL1_L7;D74A;71200-BYG70;64, 67;72526-BZ110-C0;1;Active
75;SMALL1_L7;D74A;71200-BYG70;64, 67;71832-BZ100-C0;1;Active
76;SMALL1_L7;D74A;71200-BYG70;64, 67;71930-B2030-C0;1;Active
77;SMALL1_L7;D74A;71200-BYG70;64, 67;71931-B2030-C0;1;Active
78;SMALL1_L7;D74A;71200-BYG70;64, 67;71910-BZF90;1;Active
79;SMALL1_L7;D74A;71200-BYG60;VW;72266-BZ020-C0;1;Active
80;SMALL1_L7;D74A;71200-BYG60;VW;71812-BZ350-C0;1;Active
81;SMALL1_L7;D74A;71200-BYG60;VW;71868-BZ020-C0;1;Active
82;SMALL1_L7;D74A;71200-BYG60;VW;72462-BZ090-C0;1;Active
83;SMALL1_L7;D74A;71200-BYG60;VW;72413-BZ120-C0;1;Active
84;SMALL1_L7;D74A;71200-BYG60;VW;72991-BZ090;1;Active
85;SMALL1_L7;D74A;71200-BYG60;VW;72129-BZ110;2;Active
86;SMALL1_L7;D74A;71200-BYG60;VW;72413-BZ150-C0;1;Active
87;SMALL1_L7;D74A;71200-BYG60;VW;73230-BZE50;1;Active
88;SMALL1_L7;D74A;71200-BYG60;VW;72552-B1010;1;Active
89;SMALL1_L7;D74A;71200-BYG60;VW;72992-BZ050-C0;1;Active
90;SMALL1_L7;D74A;71200-BYG60;VW;72526-BZ110-C0;1;Active
91;SMALL1_L7;D74A;71200-BYG60;VW;71930-B2030-C0;1;Active
92;SMALL1_L7;D74A;71200-BYG60;VW;71931-B2030-C0;1;Active
93;SMALL1_L7;D74A;71200-BYG60;VW;71910-BZF90;1;Active
94;SMALL1_L7;D26A;71200-BY460;RU, RV;72991-BZ090;1;Active
95;SMALL1_L7;D26A;71200-BY460;RU, RV;72129-BZ110;2;Active
96;SMALL1_L7;D26A;71200-BY460;RU, RV;72552-B1010;1;Active
97;SMALL1_L7;D26A;71200-BY460;RU, RV;71812-BZ280;1;Active
98;SMALL1_L7;D26A;71200-BY460;RU, RV;73230-BZC00;1;Active
99;SMALL1_L7;D26A;71200-BY460;RU, RV;71910-BZG50;1;Active
100;SMALL1_L7;D26A;71200-BY450;EC;72991-BZ090;1;Active
101;SMALL1_L7;D26A;71200-BY450;EC;72129-BZ110;2;Active
102;SMALL1_L7;D26A;71200-BY450;EC;72552-B1010;1;Active
103;SMALL1_L7;D26A;71200-BY450;EC;71812-BZ280;1;Active
104;SMALL1_L7;D26A;71200-BY450;EC;73230-BZB90;1;Active
105;SMALL1_L7;D26A;71200-BY450;EC;71910-BZG50;1;Active
106;SMALL1_L7;D26A;71200-BY450;SL, SR, SS;72991-BZ090;1;Active
107;SMALL1_L7;D26A;71200-BY450;SL, SR, SS;72129-BZ110;2;Active
108;SMALL1_L7;D26A;71200-BY450;SL, SR, SS;72552-B1010;1;Active
109;SMALL1_L7;D26A;71200-BY450;SL, SR, SS;71812-BZ280;1;Active
110;SMALL1_L7;D26A;71200-BY450;SL, SR, SS;73230-BZB90;1;Active
111;SMALL1_L7;D26A;71200-BY450;SL, SR, SS;71910-BZG50;1;Active
112;SMALL1_L7;D26A;71200-BYM20;96;72991-BZ090;1;Active
113;SMALL1_L7;D26A;71200-BYM20;96;72129-BZ110;2;Active
114;SMALL1_L7;D26A;71200-BYM20;96;72552-B1010;1;Active
115;SMALL1_L7;D26A;71200-BYM20;96;71812-BZ280;1;Active
116;SMALL1_L7;D26A;71200-BYM20;96;73230-BZB90;1;Active
117;SMALL1_L7;D26A;71200-BYM20;96;71910-BZJ70;1;Active
118;SMALL1_L7;D26A;71200-BY430;SQ, ST;72991-BZ090;1;Active
119;SMALL1_L7;D26A;71200-BY430;SQ, ST;72129-BZ110;2;Active
120;SMALL1_L7;D26A;71200-BY430;SQ, ST;72552-B1010;1;Active
121;SMALL1_L7;D26A;71200-BY430;SQ, ST;71812-BZ280;1;Active
122;SMALL1_L7;D26A;71200-BY430;SQ, ST;73230-BZB90;1;Active
123;SMALL1_L7;D26A;71200-BY430;SQ, ST;71910-BZJ70;1;Active
124;SMALL1_L7;D26A;71200-BY440;SV, SX;72991-BZ090;1;Active
125;SMALL1_L7;D26A;71200-BY440;SV, SX;72129-BZ110;2;Active
126;SMALL1_L7;D26A;71200-BY440;SV, SX;72552-B1010;1;Active
127;SMALL1_L7;D26A;71200-BY440;SV, SX;71812-BZ280;1;Active
128;SMALL1_L7;D26A;71200-BY440;SV, SX;73230-BZC00;1;Active
129;SMALL1_L7;D26A;71200-BY440;SV, SX;71910-BZJ70;1;Active
130;SMALL1_L7;D26A;71200-BY580;SW;72991-BZ090;1;Active
131;SMALL1_L7;D26A;71200-BY580;SW;72129-BZ110;2;Active
132;SMALL1_L7;D26A;71200-BY580;SW;72552-B1010;1;Active
133;SMALL1_L7;D26A;71200-BY580;SW;71812-BZ280;1;Active
134;SMALL1_L7;D26A;71200-BY580;SW;73230-BZC00;1;Active
135;SMALL1_L7;D26A;71200-BY580;SW;71910-BZJ70;1;Active
136;SMALL1_L7;D26A;71200-BY430;SY, SZ, TA;72991-BZ090;1;Active
137;SMALL1_L7;D26A;71200-BY430;SY, SZ, TA;72129-BZ110;2;Active
138;SMALL1_L7;D26A;71200-BY430;SY, SZ, TA;72552-B1010;1;Active
139;SMALL1_L7;D26A;71200-BY430;SY, SZ, TA;71812-BZ280;1;Active
140;SMALL1_L7;D26A;71200-BY430;SY, SZ, TA;73230-BZB90;1;Active
141;SMALL1_L7;D26A;71200-BY430;SY, SZ, TA;71910-BZJ70;1;Active
142;SMALL1_L6;D74A;71100-BY820;T9;71811-BZ380-C0;1;Active
143;SMALL1_L6;D74A;71100-BY820;T9;72993-BZ030;1;Active
144;SMALL1_L6;D74A;71100-BY820;T9;73230-BZE30;1;Active
145;SMALL1_L6;D74A;71100-BY820;T9;72129-BZ110;2;Active
146;SMALL1_L6;D74A;71100-BY820;T9;71876-B2060;1;Active
147;SMALL1_L6;D74A;71100-BY820;T9;72991-BZ340-C0;1;Active
148;SMALL1_L6;D74A;71100-BY820;T9;72525-BZ140-C0;1;Active
149;SMALL1_L6;D74A;71100-BY820;T9;72551-BZ070-C0;1;Active
150;SMALL1_L6;D74A;71100-BY820;T9;71147-BZ180;1;Active
151;SMALL1_L6;D74A;71100-BY830;7F, 7G, T6, T8;71811-BZ380-C0;1;Active
