ID;SEAT_PART_NO;SEAT_CODE;SIDE;CODE;CHILD_PART_NO;PROBLEM_NO
1;79200-BZC00-B1;RR2;RH;-;71650-BZ080;1
2;79210-BZ160-B1;RR2;LH;-;71650-BZ080;1
3;71600-BZ010-B2;RR2;LH;-;71660-BZ080;1
4;71200-BZW20-B3;FR;LH;-;71660-BZ080;1
5;71200-BZX50-E0;FR;LH;-;71017-BZ300;1
6;71300-BZG70-E0;RR1;RH;-;71017-BZ300;1
7;71400-BZC31-B0;RR1;LH;-;71018-BZ250;1
8;71300-BZD10-B1;RR1;RH;-;71018-BZ250;1
9;71400-BZG40-B0;RR1;LH;-;71309-BZ150;1
10;71400-BZE61-B0;RR1;LH;-;71308-BZ140;1
11;79200-BZB60-B5;RR2;RH;-;72160-BZ080;1
12;79210-BZ100-B5;RR2;LH;-;72160-BZ080;1
13;71300-BZG21-B0;RR1;RH;-;72170-BZ070;1
14;71400-BZE71-B0;RR1;LH;-;72170-BZ070;1
15;71100-BY180-C3;FR;RH;-;71507-BZ380;1
16;71200-BY430-C3;FR;LH;-;71507-BZ380;1
17;71100-BY200-C3;FR;RH;-;71508-BZ290;1
18;71100-BY360-C3;FR;RH;-;71508-BZ290;1
19;71100-BY210-C3;FR;RH;-;71503-BZ470;1
20;71100-BY330-C3;FR;RH;-;71503-BZ470;1
21;71200-BY430-C3;FR;LH;-;71504-BZ349;1
22;71200-BY440-C2;FR;LH;-;71504-BZ349;1
23;71200-BY450-C3;FR;LH;-;71076-BZB00;1
24;71100-BY210-C3;FR;RH;-;71076-BZB00;1
25;71200-BY460-C3;FR;LH;-;71075-BZF21;1
26;71200-BY580-C3;FR;LH;-;71075-BZF21;1
27;79210-BZ140-B1;RR2;LH;-;71078-BZA60;1
28;71200-BZX80-E0;FR;LH;-;71078-BZA60;1
29;71300-BZJ00-E0;RR1;RH;-;71077-BZC80;1
30;71700-BZ050-B1;RR1;RH;-;71077-BZC80;1
31;71800-BZ040-B1;RR1;LH;-;71940-BZB80;1
32;71200-BZE60-B0;FR;LH;-;71940-BZB80;1
33;71300-BZD20-B0;RR1;RH;-;71940-BZB80;1
34;79210-BZ070-B4;RR2;LH;-;71940-BZB80;1
35;71100-BZV20-B2;FR;RH;-;71960-BZ010;1
36;71200-BZR90-B2;FR;LH;-;71960-BZ010;1
37;71100-BZY00-B1;FR;RH;-;72694-BZ130;1
38;71200-BY020-B1;FR;LH;-;72159-BZ050;1
39;71100-BZT30-B3;FR;RH;-;72665-BZ090;1
40;71500-BZ100-B1;RR2;RH;-;72157-BZ060;1
41;71600-BZ080-B1;RR2;LH;-;72694-BZ140;1
42;71800-BZ051-E2;RR1;LH;-;72159-BZ060;1
43;71500-BZ111-E1;RR2;RH;-;72666-BZ060;1
44;71600-BZ091-E1;RR2;LH;-;72158-BZ050;1
45;71200-BZX60-E0;FR;LH;-;73330-BZ200;1
46;79210-BZ130-B1;RR2;LH;-;73340-BZ180;1
47;71100-BZX20-B0;FR;RH;-;72173-BZ010;1
48;71200-BZZ30-B0;FR;LH;-;72173-BZ020;1
49;71300-BZJ00-B0;RR1;RH;-;71878-BZ050;1
50;79200-BZB10-B5;RR2;RH;-;71691-BZ040;1
51;79210-BZ050-B5;RR2;LH;-;71879-BZ040;1
52;71100-BZT60-B3;FR;RH;-;71692-BZ060;1
53;71200-BZV80-B3;FR;LH;-;72129-BZ010;1
54;71300-BZG41-B0;RR1;RH;-;72129-BZ010;1
55;71400-BZE90-B4;RR1;LH;-;72129-BZ010;1
56;71100-BZV70-E0;FR;RH;-;72129-BZ010;1
57;71200-BZZ50-B0;FR;LH;-;71537-BZ030;1
58;71100-BZX20-E0;FR;RH;-;71537-BZ030;1
59;71200-BY060-B1;FR;LH;-;72137-BZ040;1
60;71100-BZX90-00;FR;RH;-;72137-BZ040;1
61;71200-BY010-B0;FR;LH;-;71833-BZ060;1
62;71100-BZX90-00;FR;RH;-;71834-BZ070-B0;1
63;71200-BY010-B0;FR;LH;-;72637-BZ110;1
64;71200-BZZ30-E0;FR;LH;-;72637-BZ110;1
65;71300-BZG11-B0;RR1;RH;-;71930-BZ050;1
66;79200-BZC30-B1;RR2;RH;-;71930-BZ050;1
67;79210-BZ200-B1;RR2;LH;-;71930-BZ050;1
68;71100-BZW70-B0;FR;RH;-;71930-BZ050;1
69;71100-BZT70-B3;FR;RH;-;71931-BZ060;1
70;71200-BZV90-B3;FR;LH;-;71931-BZ060;1
71;71100-BY410-B0;FR;RH;-;71931-BZ060;1
72;71200-BYB40-B0;FR;LH;-;71931-BZ060;1
73;71100-BY440-B1;FR;RH;-;72695-BZ100;1
74;71200-BY720-B1;FR;LH;-;72695-BZ120;1
75;71100-BY450-B0;FR;RH;-;79203-BZ020;1
76;71200-BY730-B0;FR;LH;-;79203-BZ020;1
77;71100-BY570-B0;FR;RH;-;79360-BZ080;1
78;71200-BY670-B0;FR;LH;-;79360-BZ080;1
79;71400-BZJ00-C3;RR1;LH;-;79027-BZ030;1
80;71200-BY240-B0;FR;LH;-;79027-BZ030;1
81;71200-BY030-B1;FR;LH;-;79025-BZ030;1
82;71300-BZA71-B0;RR1;RH;-;79025-BZ030;1
83;71100-BZU80-B0;FR;RH;-;79023-BZ750;1
84;71200-BZV50-B3;FR;LH;-;79023-BZ750;1
85;71400-BZF20-E0;RR1;LH;-;79021-BZ800;1
86;71300-BZG80-E0;RR1;RH;-;79021-BZ800;1
87;71400-BZF30-E0;RR1;LH;-;71303-BZ110;1
88;71400-BZC41-B0;RR1;LH;-;71304-BZ060;1
89;71300-BZJ71-B0;RR1;RH;-;71485-BZ062;1
90;71400-BZG21-B0;RR1;LH;-;79273-B7042;1
91;71300-BZG51-B0;RR1;RH;-;72213-BZ010;1
92;71400-BZF50-B0;RR1;LH;-;21552-BZ020;1
93;71200-BZP61-E1;FR;LH;-;21552-BZ020;1
94;71700-BZ091-E2;RR1;RH;-;47779-BZ010;1
95;71800-BZ091-E2;RR1;LH;-;A335-87403;1
96;71500-BZ150-E0;RR2;RH;-;A336-87403;1
97;71400-BZF50-E0;RR1;LH;-;78980-BZ090;1
98;79200-BZB80-E1;RR2;RH;-;71393-BZ030;1
99;79210-BZ140-E1;RR2;LH;-;72670-BZ140;1
100;71200-BZX70-E0;FR;LH;-;79952-BZ110;1
101;71300-BZG90-E0;RR1;RH;-;71930-BZ050;1
102;71100-BZX70-B0;FR;RH;-;71930-BZ050;1
103;71100-BZV30-B2;FR;RH;-;71931-BZ060;1
104;79200-BZB80-B1;RR2;RH;-;71931-BZ060;1
105;71600-BZ150-E0;RR2;LH;-;91970-BZ070;1
106;71400-BZF40-E0;RR1;LH;-;91970-BZ070;1
107;71100-BZY20-B1;FR;RH;-;72179-BZ080;1
108;71200-BY040-B1;FR;LH;-;73060-BZ090;1
109;71300-BZ490-B2;RR1;RH;-;73060-BZ090;1
110;71500-BZ010-B2;RR2;RH;-;A011-87410;1
111;71300-BZD91-B0;RR1;RH;-;A011-87410;1
112;71400-BZF01-B0;RR1;LH;-;A011-87410;1
113;79200-BZB40-B4;RR2;RH;-;A011-87410;1
114;71200-BY050-B1;FR;LH;-;A011-87410;1
115;79200-BZD90-B0;RR2;RH;-;A011-87410;1
116;79210-BZ320-B0;RR2;LH;-;A011-87407;1
117;79200-BZE00-B0;RR2;RH;-;A011-87407;1
118;79210-BZ330-B0;RR2;LH;-;A011-87407;1
119;71100-BZN21-E1;FR;RH;-;A011-87407;1
120;79200-BZC20-B1;RR2;RH;-;A011-87407;1
121;79210-BZ190-B1;RR2;LH;-;A011-87407;1
122;71100-BZX50-B0;FR;RH;-;B105-97228;1
123;71200-BZZ60-B0;FR;LH;-;B105-97228;1
124;71100-BZX40-B0;FR;RH;-;B108-97240;1
125;71100-BZY10-B1;FR;RH;-;B108-97239;1
126;71100-BZU00-B3;FR;RH;-;B108-97239;1
127;71100-BZX20-E0;FR;RH;-;B109-97216;1
128;71200-BY570-E0;FR;LH;-;B109-97216;1
129;71200-BZS00-B2;FR;LH;-;A011-87411;1
130;71100-BY030-B0;FR;RH;-;A011-87411;1
131;79200-BZB30-B4;RR2;RH;-;A011-87411;1
132;71100-BZV60-E0;FR;RH;-;A011-87411;1
133;71100-BZV60-E0;FR;RH;-;A012-87404;1
134;71100-BZV90-B0;FR;RH;-;A012-87404;1
135;71200-BZY00-B0;FR;LH;-;A012-87404;1
136;71300-BZJ20-B0;RR1;RH;-;A012-87404;1
137;71400-BZF70-B0;RR1;LH;-;71505-BZ420;1
138;71100-BZY30-B1;FR;RH;-;71505-BZ420;1
139;71200-BZZ70-B0;FR;LH;-;71505-BZ420;1
140;71200-BZX50-E0;FR;LH;-;71505-BZ420;1
141;71100-BZY50-B0;FR;RH;-;71505-BZ420;1
142;79210-BZ080-B4;RR2;LH;-;71505-BZ420;1
143;71300-BZJ81-B0;RR1;RH;-;71506-BZ300;1
144;71400-BZG31-B0;RR1;LH;-;71506-BZ300;1
145;71100-BZ620-B2;FR;RH;-;71506-BZ300;1
146;71100-BY020-B0;FR;RH;-;71506-BZ300;1
147;71100-BZL10-B0;FR;RH;-;71506-BZ300;1
148;71200-BZM30-B0;FR;LH;-;71506-BZ300;1
149;71100-BZN31-E1;FR;RH;-;71501-BZ350;1
150;71300-BZ490-B1;RR1;RH;-;71501-BZ350;1
151;71500-BZ010-B1;RR2;RH;-;71501-BZ350;1
152;71600-BZ010-B1;RR2;LH;-;71501-BZ350;1
153;71100-BZR80-B0;FR;RH;-;71501-BZ350;1
154;71200-BZT70-B0;FR;LH;-;71501-BZ350;1
155;71300-BZD10-B0;RR1;RH;-;71502-BZ330;1
156;71100-BZX10-B0;FR;RH;-;71502-BZ330;1
157;71200-BZW90-B0;FR;LH;-;71502-BZ330;1
158;71200-BZZ80-B0;FR;LH;-;71502-BZ330;1
159;71300-BZK00-B0;RR1;RH;-;71502-BZ330;1
160;71400-BZG50-B0;RR1;LH;-;71502-BZ330;1
161;71100-BZY40-B1;FR;RH;-;72810-BZ120;1
162;71200-BZP51-E1;FR;LH;-;72810-BZ120;1
163;71700-BZ061-E2;RR1;RH;-;72810-BZ120;1
164;71200-BY250-B0;FR;LH;-;72810-BZ120;1
165;71200-BZ630-B1;FR;LH;-;72810-BZ120;1
166;71100-BZ660-B1;FR;RH;-;71100-BZZ00-E0;1
167;71200-BZ680-B1;FR;LH;-;71100-BZZ00-E0;1
168;71100-BZV60-B0;FR;RH;-;71100-BZZ00-E0;1
169;71100-BZZ70-B2;FR;RH;-;71073-BZK40;1
170;71200-BY200-B2;FR;LH;-;71073-BZK40;1
171;71100-BZV60-B0;FR;RH;-;71073-BZK40;1
172;71200-BZZ00-B0;FR;LH;-;71074-BZE80;1
173;71100-BZV70-E0;FR;RH;-;71074-BZE80;1
174;79200-BZB70-E1;RR2;RH;-;71074-BZE80;1
175;79210-BZ130-E1;RR2;LH;-;71074-BZE80;1
176;71100-BZ671-B0;FR;RH;-;71074-BZE80;1
177;71200-BZG41-B0;FR;LH;-;71074-BZE80;1
178;71300-BZJ90-B0;RR1;RH;-;71071-BZJ40;1
179;71100-BZT90-B3;FR;RH;-;71071-BZJ40;1
180;71100-BZE40-B0;FR;RH;-;71071-BZJ40;1
181;71500-BZ100-B0;RR2;RH;-;71071-BZJ40;1
182;71600-BZ080-B0;RR2;LH;-;71071-BZJ40;1
183;71100-BZU70-B0;FR;RH;-;71071-BZJ40;1
184;71200-BZW80-B0;FR;LH;-;71072-BZJ50;1
185;71100-BZK90-B0;FR;RH;-;71072-BZJ50;1
186;71200-BZM20-B0;FR;LH;-;71072-BZJ50;1
187;71100-BZ890-B0;FR;RH;-;71072-BZJ50;1
188;71200-BZM10-B0;FR;LH;-;71072-BZJ50;1
189;71200-BZV60-B3;FR;LH;-;71072-BZJ50;1
190;71100-BZT40-B3;FR;RH;-;A111-87407;1
191;71200-BZW10-B3;FR;LH;-;A111-87407;1
192;71300-BZD81-B0;RR1;RH;-;A111-87407;1
193;71300-BZK60-C4;RR1;RH;-;A111-87407;1
194;71300-BZK90-C4;RR1;RH;-;72525-BZ110;1
195;71300-BZL20-C3;RR1;RH;-;72525-BZ110;1
196;71300-BZL10-C4;RR1;RH;-;72526-BZ100;1
197;71300-BZL60-C4;RR1;RH;-;72562-BZ100;1
198;71400-BZJ00-C3;RR1;LH;-;72211-BZ120;1
199;71400-BZJ30-C3;RR1;LH;-;72211-BZ120;1
200;71400-BZJ50-C4;RR1;LH;-;72211-BZ120;1
201;71400-BZJ80-C5;RR1;LH;-;72211-BZ120;1
202;79200-BZC90-C2;RR2;RH;-;72211-BZ120;1
203;79200-BZD10-C2;RR2;RH;-;72211-BZ120;1
204;79210-BZ220-C2;RR2;LH;-;72211-BZ120;1
205;79210-BZ240-C2;RR2;LH;-;72211-BZ120;1
206;79200-BZD30-C2;RR2;RH;-;73507-BZ010;1
207;79200-BZD00-C3;RR2;RH;-;73507-BZ010;1
208;79200-BZ230-C2;RR2;LH;-;73230-BZ790;1
209;71200-BY070-B0;FR;LH;-;73230-BZ790;1
210;71300-BZK20-B1;RR1;RH;-;73230-BZ520;1
211;71700-BZ050-B3;RR1;RH;-;73230-BZ520;1
212;71800-BZ040-B2;RR1;LH;-;73230-BZ520;1
213;71200-BZZ20-B0;FR;LH;-;73230-BZ520;1
214;71200-BZY80-B0;FR;LH;-;71812-BZ200;1
215;71300-BZG70-B0;RR1;RH;-;71812-BZ200;1
216;71400-BZF20-B0;RR1;LH;-;71812-BZ240;1
217;79200-BZB70-B1;RR2;RH;-;71812-BZ240;1
