id;child_part_no;child_part_name;problem
765;71691-BZ040;COVER HINGE OUTTER RH;screw t/a
766;71691-BZ040;COVER HINGE OUTTER RH;others
767;71879-BZ040;COVER HINGE INNER LH;part tidak terpasang
768;71879-BZ040;COVER HINGE INNER LH;kotor
769;71879-BZ040;COVER HINGE INNER LH;short mold
770;71879-BZ040;COVER HINGE INNER LH;whitening
771;71879-BZ040;COVER HINGE INNER LH;scratch
772;71879-BZ040;COVER HINGE INNER LH;unfix
773;71879-BZ040;COVER HINGE INNER LH;beda warna (belang)
774;71879-BZ040;COVER HINGE INNER LH;others
775;71692-BZ060;COVER HINGE OUTTER LH;part tidak terpasang
776;71692-BZ060;COVER HINGE OUTTER LH;kotor
777;71692-BZ060;COVER HINGE OUTTER LH;short mold
778;71692-BZ060;COVER HINGE OUTTER LH;whitening
779;71692-BZ060;COVER HINGE OUTTER LH;scratch
780;71692-BZ060;COVER HINGE OUTTER LH;unfix
781;71692-BZ060;COVER HINGE OUTTER LH;beda warna (belang)
782;71692-BZ060;COVER HINGE OUTTER LH;screw kendor
783;71692-BZ060;COVER HINGE OUTTER LH;screw t/a
784;71692-BZ060;COVER HINGE OUTTER LH;others
785;72129-BZ010;COVER LEG;part tidak terpasang
786;72129-BZ010;COVER LEG;kotor
787;72129-BZ010;COVER LEG;short mold
788;72129-BZ010;COVER LEG;whitening
789;72129-BZ010;COVER LEG;scratch
790;72129-BZ010;COVER LEG;unfix
791;72129-BZ010;COVER LEG;beda warna (belang)
792;72129-BZ010;COVER LEG;others
793;71833-BZ060;COVER RECLINING RH;part tidak terpasang
794;71833-BZ060;COVER RECLINING RH;kotor
795;71833-BZ060;COVER RECLINING RH;short mold
796;71833-BZ060;COVER RECLINING RH;whitening
797;71833-BZ060;COVER RECLINING RH;scratch
798;71833-BZ060;COVER RECLINING RH;unfix
799;71833-BZ060;COVER RECLINING RH;beda warna (belang)
800;71833-BZ060;COVER RECLINING RH;screw kendor
801;71833-BZ060;COVER RECLINING RH;screw t/a
802;71833-BZ060;COVER RECLINING RH;others
803;71834-BZ070-B0;COVER RECLINING LH;part tidak terpasang
804;71834-BZ070-B0;COVER RECLINING LH;kotor
805;71834-BZ070-B0;COVER RECLINING LH;short mold
806;71834-BZ070-B0;COVER RECLINING LH;whitening
807;71834-BZ070-B0;COVER RECLINING LH;scratch
808;71834-BZ070-B0;COVER RECLINING LH;unfix
809;71834-BZ070-B0;COVER RECLINING LH;beda warna (belang)
810;71834-BZ070-B0;COVER RECLINING LH;screw kendor
811;71834-BZ070-B0;COVER RECLINING LH;screw t/a
812;71834-BZ070-B0;COVER RECLINING LH;others
813;72637-BZ110;HANDLE RECLINING RH/LH;part tidak terpasang
814;72637-BZ110;HANDLE RECLINING RH/LH;kotor
815;72637-BZ110;HANDLE RECLINING RH/LH;noise
816;72637-BZ110;HANDLE RECLINING RH/LH;short mold
817;72637-BZ110;HANDLE RECLINING RH/LH;whitening
818;72637-BZ110;HANDLE RECLINING RH/LH;scratch
819;72637-BZ110;HANDLE RECLINING RH/LH;unfix
820;72637-BZ110;HANDLE RECLINING RH/LH;snap ring t/a
821;72637-BZ110;HANDLE RECLINING RH/LH;others
822;72695-BZ100;KABEL LINK RH;part tidak terpasang
823;72695-BZ100;KABEL LINK RH;kotor
824;72695-BZ100;KABEL LINK RH;noise
825;72695-BZ100;KABEL LINK RH;unfix
826;72695-BZ100;KABEL LINK RH;salah spec
827;72695-BZ100;KABEL LINK RH;others
828;72695-BZ120;KABEL LINK LH;part tidak terpasang
829;72695-BZ120;KABEL LINK LH;kotor
830;72695-BZ120;KABEL LINK LH;noise
831;72695-BZ120;KABEL LINK LH;unfix
832;72695-BZ120;KABEL LINK LH;salah spec
833;72695-BZ120;KABEL LINK LH;others
834;79203-BZ020;FRAME BACK;part tidak terpasang
835;79203-BZ020;FRAME BACK;noise
836;79203-BZ020;FRAME BACK;welding over
837;79203-BZ020;FRAME BACK;welding t/a
838;79203-BZ020;FRAME BACK;pecok
839;79203-BZ020;FRAME BACK;karat
840;79203-BZ020;FRAME BACK;reclening loss
841;79203-BZ020;FRAME BACK;folding lemah
842;79203-BZ020;FRAME BACK;gata-gata
843;79203-BZ020;FRAME BACK;bolt miring
844;79203-BZ020;FRAME BACK;bolt loss
845;79203-BZ020;FRAME BACK;under torque
846;79203-BZ020;FRAME BACK;others
847;79360-BZ080;FRAME CUSH;part tidak terpasang
848;79360-BZ080;FRAME CUSH;noise
849;79360-BZ080;FRAME CUSH;welding over
850;79360-BZ080;FRAME CUSH;welding t/a
851;79360-BZ080;FRAME CUSH;pecok
852;79360-BZ080;FRAME CUSH;karat
853;79360-BZ080;FRAME CUSH;reclening loss
854;79360-BZ080;FRAME CUSH;folding lemah
855;79360-BZ080;FRAME CUSH;gata-gata
856;79360-BZ080;FRAME CUSH;bolt miring
857;79360-BZ080;FRAME CUSH;bolt loss
858;79360-BZ080;FRAME CUSH;under torque
859;79360-BZ080;FRAME CUSH;others
860;79027-BZ030;PAD FOAM BACK ;sobek
861;79027-BZ030;PAD FOAM BACK ;short mold
862;79027-BZ030;PAD FOAM BACK ;terlipat
863;79027-BZ030;PAD FOAM BACK ;pecok
864;79027-BZ030;PAD FOAM BACK ;keropos
865;79027-BZ030;PAD FOAM BACK ;kotor
866;79027-BZ030;PAD FOAM BACK ;bolong
867;79027-BZ030;PAD FOAM BACK ;burry
868;79027-BZ030;PAD FOAM BACK ;parting line
869;79027-BZ030;PAD FOAM BACK ;wire pad tidak ada
870;79027-BZ030;PAD FOAM BACK ;wire pad miring
871;79027-BZ030;PAD FOAM BACK ;salah spec
872;79027-BZ030;PAD FOAM BACK ;others
873;79025-BZ030;PAD FOAM CUSHION;sobek
874;79025-BZ030;PAD FOAM CUSHION;short mold
875;79025-BZ030;PAD FOAM CUSHION;terlipat
876;79025-BZ030;PAD FOAM CUSHION;pecok
877;79025-BZ030;PAD FOAM CUSHION;keropos
878;79025-BZ030;PAD FOAM CUSHION;kotor
879;79025-BZ030;PAD FOAM CUSHION;bolong
880;79025-BZ030;PAD FOAM CUSHION;burry
881;79025-BZ030;PAD FOAM CUSHION;parting line
882;79025-BZ030;PAD FOAM CUSHION;wire pad tidak ada
883;79025-BZ030;PAD FOAM CUSHION;wire pad miring
884;79025-BZ030;PAD FOAM CUSHION;salah spec
885;79025-BZ030;PAD FOAM CUSHION;others
886;79023-BZ750;COVER BACK ;cover tidak terjahit
887;79023-BZ750;COVER BACK ;cover terjepit
888;79023-BZ750;COVER BACK ;hole cover terlihat
889;79023-BZ750;COVER BACK ;jahitan lepas
890;79023-BZ750;COVER BACK ;jahitan miring
891;79023-BZ750;COVER BACK ;jahitan kendur
892;79023-BZ750;COVER BACK ;benang over
893;79023-BZ750;COVER BACK ;cover kotor
894;79023-BZ750;COVER BACK ;short mold
895;79023-BZ750;COVER BACK ;dupplate
896;79023-BZ750;COVER BACK ;scratch
897;79023-BZ750;COVER BACK ;floating
898;79023-BZ750;COVER BACK ;motif cover rusak
899;79023-BZ750;COVER BACK ;beda warna
900;79023-BZ750;COVER BACK ;sobek
901;79023-BZ750;COVER BACK ;kontak pattern
902;79023-BZ750;COVER BACK ;cover bolong
903;79023-BZ750;COVER BACK ;c-ring tidak ada
904;79023-BZ750;COVER BACK ;c-ring kedalaman
905;79023-BZ750;COVER BACK ;others
906;79021-BZ800;COVER CUSHION;cover tidak terjahit
907;79021-BZ800;COVER CUSHION;cover terjepit
908;79021-BZ800;COVER CUSHION;hole cover terlihat
909;79021-BZ800;COVER CUSHION;jahitan lepas
910;79021-BZ800;COVER CUSHION;jahitan miring
911;79021-BZ800;COVER CUSHION;jahitan kendur
912;79021-BZ800;COVER CUSHION;benang over
913;79021-BZ800;COVER CUSHION;cover kotor
914;79021-BZ800;COVER CUSHION;short mold
915;79021-BZ800;COVER CUSHION;dupplate
916;79021-BZ800;COVER CUSHION;scratch
917;79021-BZ800;COVER CUSHION;floating
918;79021-BZ800;COVER CUSHION;motif cover rusak
919;79021-BZ800;COVER CUSHION;beda warna
920;79021-BZ800;COVER CUSHION;sobek
921;79021-BZ800;COVER CUSHION;kontak pattern
922;79021-BZ800;COVER CUSHION;cover bolong
923;79021-BZ800;COVER CUSHION;c-ring tidak ada
924;79021-BZ800;COVER CUSHION;c-ring kedalaman
925;79021-BZ800;COVER CUSHION;others
926;71303-BZ110;HINGE RH;seal tipe t/a
927;71303-BZ110;HINGE RH;over greas
928;71303-BZ110;HINGE RH;salah spec
929;71303-BZ110;HINGE RH;kotor
930;71303-BZ110;HINGE RH;burry
931;71303-BZ110;HINGE RH;karat
932;71303-BZ110;HINGE RH;painting rusak
933;71303-BZ110;HINGE RH;gata-gata
934;71303-BZ110;HINGE RH;noise
935;71303-BZ110;HINGE RH;others
936;71304-BZ060;HINGE LH;seal tipe t/a
937;71304-BZ060;HINGE LH;over greas
938;71304-BZ060;HINGE LH;salah spec
939;71304-BZ060;HINGE LH;kotor
940;71304-BZ060;HINGE LH;burry
941;71304-BZ060;HINGE LH;karat
942;71304-BZ060;HINGE LH;painting rusak
943;71304-BZ060;HINGE LH;gata-gata
944;71304-BZ060;HINGE LH;noise
945;71304-BZ060;HINGE LH;others
946;71485-BZ062;COVER HINGE RH;part tidak terpasang
947;71485-BZ062;COVER HINGE RH;kotor
948;71485-BZ062;COVER HINGE RH;short mold
949;71485-BZ062;COVER HINGE RH;whitening
950;71485-BZ062;COVER HINGE RH;scratch
951;71485-BZ062;COVER HINGE RH;unfix
952;71485-BZ062;COVER HINGE RH;beda warna (belang)
953;71485-BZ062;COVER HINGE RH;screw kendur
954;71485-BZ062;COVER HINGE RH;screw kedalaman
955;71485-BZ062;COVER HINGE RH;screw tidak ada
956;71485-BZ062;COVER HINGE RH;others
957;79273-B7042;COVER HINGE LH;part tidak terpasang
958;79273-B7042;COVER HINGE LH;kotor
959;79273-B7042;COVER HINGE LH;short mold
960;79273-B7042;COVER HINGE LH;whitening
961;79273-B7042;COVER HINGE LH;scratch
962;79273-B7042;COVER HINGE LH;unfix
963;79273-B7042;COVER HINGE LH;beda warna (belang)
964;79273-B7042;COVER HINGE LH;screw kendur
965;79273-B7042;COVER HINGE LH;screw kedalaman
966;79273-B7042;COVER HINGE LH;screw tidak ada
967;79273-B7042;COVER HINGE LH;others
968;72213-BZ010;KNOP HANDLE HING;part tidak terpasang
969;72213-BZ010;KNOP HANDLE HING;salah spec
970;72213-BZ010;KNOP HANDLE HING;short mold
971;72213-BZ010;KNOP HANDLE HING;unfix
972;72213-BZ010;KNOP HANDLE HING;over lem
973;72213-BZ010;KNOP HANDLE HING;others
974;21552-BZ020;BUSHING HINGE;part tidak terpasang
975;21552-BZ020;BUSHING HINGE;bushing pecah
976;21552-BZ020;BUSHING HINGE;short mold
977;21552-BZ020;BUSHING HINGE;unfix
978;21552-BZ020;BUSHING HINGE;others
979;S380-00018;BUSHING HINGE;part tidak terpasang
980;S380-00018;BUSHING HINGE;bushing pecah
981;S380-00018;BUSHING HINGE;short mold
982;S380-00018;BUSHING HINGE;unfix
983;S380-00018;BUSHING HINGE;others
984;A335-87403;LEG OVAL;part tidak terpasang
985;A335-87403;LEG OVAL;kotor
986;A335-87403;LEG OVAL;burry
987;A335-87403;LEG OVAL;karat
988;A335-87403;LEG OVAL;noise
989;A335-87403;LEG OVAL;bolt loss
990;A335-87403;LEG OVAL;bolt miring
991;A335-87403;LEG OVAL;nut loss
992;A335-87403;LEG OVAL;salah spec
993;A335-87403;LEG OVAL;pin leg terbalik
994;A335-87403;LEG OVAL;pin stopper terbalik
995;A335-87403;LEG OVAL;peeled off
996;A335-87403;LEG OVAL;painting rusak
997;A335-87403;LEG OVAL;washer tidak ada
998;A335-87403;LEG OVAL;others
999;A336-87403;LEG BULAT;part tidak terpasang
1000;A336-87403;LEG BULAT;kotor
1001;A336-87403;LEG BULAT;burry
1002;A336-87403;LEG BULAT;karat
1003;A336-87403;LEG BULAT;noise
1004;A336-87403;LEG BULAT;bolt loss
1005;A336-87403;LEG BULAT;bolt miring
1006;A336-87403;LEG BULAT;nut loss
1007;A336-87403;LEG BULAT;salah spec
1008;A336-87403;LEG BULAT;pin leg terbalik
1009;A336-87403;LEG BULAT;pin stopper terbalik
1010;A336-87403;LEG BULAT;peeled off
1011;A336-87403;LEG BULAT;painting rusak
1012;A336-87403;LEG BULAT;washer tidak ada
1013;A336-87403;LEG BULAT;others
1014;78980-BZ090;BAND ASSY SEAT;part tidak terpasang
1015;78980-BZ090;BAND ASSY SEAT;salah spec
1016;78980-BZ090;BAND ASSY SEAT;posisi terbalik
1017;78980-BZ090;BAND ASSY SEAT;part lepas
1018;78980-BZ090;BAND ASSY SEAT;unfix
1019;78980-BZ090;BAND ASSY SEAT;others
1020;71393-BZ030;BAND ASSY LOCK;part tidak terpasang
1021;71393-BZ030;BAND ASSY LOCK;salah spec
1022;71393-BZ030;BAND ASSY LOCK;posisi terbalik
1023;71393-BZ030;BAND ASSY LOCK;part lepas
1024;71393-BZ030;BAND ASSY LOCK;unfix
1025;71393-BZ030;BAND ASSY LOCK;others
1026;72670-BZ140;LOCK;part tidak terpasang
1027;72670-BZ140;LOCK;unlock
1028;72670-BZ140;LOCK;touching
1029;72670-BZ140;LOCK;lock tidak fungsi
1030;72670-BZ140;LOCK;rubber lock t/a
1031;72670-BZ140;LOCK;others
1032;79952-BZ110;COVER LOCK;part tidak terpasang
1033;79952-BZ110;COVER LOCK;kotor
1034;79952-BZ110;COVER LOCK;short mold
1035;79952-BZ110;COVER LOCK;whitening
1036;79952-BZ110;COVER LOCK;scratch
1037;79952-BZ110;COVER LOCK;unfix
1038;79952-BZ110;COVER LOCK;beda warna (belang)
1039;79952-BZ110;COVER LOCK;screw kendur
1040;79952-BZ110;COVER LOCK;screw kedalaman
1041;79952-BZ110;COVER LOCK;screw tidak ada
1042;79952-BZ110;COVER LOCK;others
1043;71930-BZ050;SUPPORT H/R LOCK;part tidak terpasang
1044;71930-BZ050;SUPPORT H/R LOCK;scratch
1045;71930-BZ050;SUPPORT H/R LOCK;short mold
1046;71930-BZ050;SUPPORT H/R LOCK;whitening
1047;71930-BZ050;SUPPORT H/R LOCK;unfix
1048;71930-BZ050;SUPPORT H/R LOCK;sliding keras
1049;71930-BZ050;SUPPORT H/R LOCK;salah spec
1050;71930-BZ050;SUPPORT H/R LOCK;unlock / loss
1051;71930-BZ050;SUPPORT H/R LOCK;beda warna (belang)
1052;71930-BZ050;SUPPORT H/R LOCK;others
1053;71931-BZ060;SUPPORT H/R POLOS;part tidak terpasang
1054;71931-BZ060;SUPPORT H/R POLOS;scratch
1055;71931-BZ060;SUPPORT H/R POLOS;short mold
1056;71931-BZ060;SUPPORT H/R POLOS;whitening
1057;71931-BZ060;SUPPORT H/R POLOS;unfix
1058;71931-BZ060;SUPPORT H/R POLOS;sliding keras
1059;71931-BZ060;SUPPORT H/R POLOS;salah spec
1060;71931-BZ060;SUPPORT H/R POLOS;unlock / loss
1061;71931-BZ060;SUPPORT H/R POLOS;beda warna (belang)
1062;71931-BZ060;SUPPORT H/R POLOS;others
1063;91970-BZ070;HEADREST;part tidak terpasang
1064;91970-BZ070;HEADREST;kotor
1065;91970-BZ070;HEADREST;noise
1066;91970-BZ070;HEADREST;salah spec
1067;91970-BZ070;HEADREST;stay peeled off
1068;91970-BZ070;HEADREST;stay grouving burry
1069;91970-BZ070;HEADREST;stay karat
1070;91970-BZ070;HEADREST;jahitan kendur
1071;91970-BZ070;HEADREST;pad kempot
1072;91970-BZ070;HEADREST;benang over
1073;91970-BZ070;HEADREST;dupplate
1074;91970-BZ070;HEADREST;scratch
1075;91970-BZ070;HEADREST;motif cover rusak
1076;91970-BZ070;HEADREST;beda warna (belang)
1077;91970-BZ070;HEADREST;others
1078;72179-BZ080;RUBBER;part tidak terpasang
1079;72179-BZ080;RUBBER;salah spec
1080;72179-BZ080;RUBBER;short mold
1081;72179-BZ080;RUBBER;others
1082;73060-BZ090;SAFETY BELT;part tidak terpasang
1083;73060-BZ090;SAFETY BELT;buckle not function
1084;73060-BZ090;SAFETY BELT;kotor
1085;73060-BZ090;SAFETY BELT;noise
1086;73060-BZ090;SAFETY BELT;short mold
1087;73060-BZ090;SAFETY BELT;scratch
1088;73060-BZ090;SAFETY BELT;unfix
1089;73060-BZ090;SAFETY BELT;salah spec
1090;73060-BZ090;SAFETY BELT;bolt loss
1091;73060-BZ090;SAFETY BELT;bolt miring
1092;73060-BZ090;SAFETY BELT;nut loss
1093;73060-BZ090;SAFETY BELT;under torque
1094;73060-BZ090;SAFETY BELT;beda warna (belang)
1095;73060-BZ090;SAFETY BELT;others
1096;9004A-46143;CLIP;part tidak terpasang
1097;9004A-46143;CLIP;unfix
1098;9004A-46143;CLIP;short mold
1099;9004A-46143;CLIP;others
1100;71127-BZ010;RESIN PLATE FR CUSHION;part tidak terpasang
1101;71127-BZ010;RESIN PLATE FR CUSHION;kotor
1102;71127-BZ010;RESIN PLATE FR CUSHION;short mold
1103;71127-BZ010;RESIN PLATE FR CUSHION;scratch
1104;71127-BZ010;RESIN PLATE FR CUSHION;unfix
1105;71127-BZ010;RESIN PLATE FR CUSHION;screw kendur
1106;71127-BZ010;RESIN PLATE FR CUSHION;others
1107;91552-81030;BOLT FLANGE;part tidak terpasang
1108;91552-81030;BOLT FLANGE;bolt miring
1109;91552-81030;BOLT FLANGE;bolt loss
1110;91552-81030;BOLT FLANGE;bolt kendur
1111;91552-81030;BOLT FLANGE;under torque
1112;91552-81030;BOLT FLANGE;salah spec
1113;91552-81030;BOLT FLANGE;others
1114;72670-BZ130;LOCK RR.1 CUSHION RH;part tidak terpasang
1115;72670-BZ130;LOCK RR.1 CUSHION RH;unlock
1116;72670-BZ130;LOCK RR.1 CUSHION RH;touching
1117;72670-BZ130;LOCK RR.1 CUSHION RH;not function
1118;72670-BZ130;LOCK RR.1 CUSHION RH;rubber lock t/a
1119;72680-BZ200;LOCK RR.1 CUSHION LH;part tidak terpasang
1120;72680-BZ200;LOCK RR.1 CUSHION LH;unlock
1121;72680-BZ200;LOCK RR.1 CUSHION LH;touching
1122;72680-BZ200;LOCK RR.1 CUSHION LH;not function
1123;72680-BZ200;LOCK RR.1 CUSHION LH;rubber lock t/a
1124;72680-BZ200;LOCK RR.1 CUSHION LH;others
1125;B235-87401;SPRING BAR S/TRACK RR.1 RH;part tidak terpasang
1126;B235-87401;SPRING BAR S/TRACK RR.1 RH;karat
1127;B235-87401;SPRING BAR S/TRACK RR.1 RH;kotor
1128;B235-87401;SPRING BAR S/TRACK RR.1 RH;salah spec
1129;B235-87401;SPRING BAR S/TRACK RR.1 RH;others
1130;B236-87401;SPRING BAR S/TRACK RR.1 LH;part tidak terpasang
1131;B236-87401;SPRING BAR S/TRACK RR.1 LH;karat
1132;B236-87401;SPRING BAR S/TRACK RR.1 LH;kotor
1133;B236-87401;SPRING BAR S/TRACK RR.1 LH;salah spec
1134;B236-87401;SPRING BAR S/TRACK RR.1 LH;others
1135;S830-00022;BUSHING;part tidak terpasang
1136;S830-00022;BUSHING;bushing pecah
1137;S830-00022;BUSHING;short mold
1138;S830-00022;BUSHING;unfix
1139;S830-00022;BUSHING;others
1140;47779-BZ010;BUSHING LEG;part tidak terpasang
1141;47779-BZ010;BUSHING LEG;bushing pecah
1142;47779-BZ010;BUSHING LEG;short mold
1143;47779-BZ010;BUSHING LEG;unfix
1144;47779-BZ010;BUSHING LEG;others
1145;S380-00023;BUSHING HINGE LOCK;part tidak terpasang
1146;S380-00023;BUSHING HINGE LOCK;bushing pecah
1147;S380-00023;BUSHING HINGE LOCK;short mold
1148;S380-00023;BUSHING HINGE LOCK;unfix
1149;S380-00023;BUSHING HINGE LOCK;others
1150;S183-00007;WASHER LOCK KECIL;part tidak terpasang
1151;S183-00007;WASHER LOCK KECIL;karat
1152;S183-00007;WASHER LOCK KECIL;kotor
1153;S183-00007;WASHER LOCK KECIL;salah spec
1154;S183-00007;WASHER LOCK KECIL;others
1155;90041-83061;WASHER LOCK BESAR;part tidak terpasang
1156;90041-83061;WASHER LOCK BESAR;karat
1157;90041-83061;WASHER LOCK BESAR;kotor
1158;90041-83061;WASHER LOCK BESAR;salah spec
1159;90041-83061;WASHER LOCK BESAR;others
1160;71694-BZ030;COVER, RR SEAT CUSHION HINGE, LWR LH;kotor
1161;71844-BZ010;COVER, RR SEAT RECLINING, NO.2 LH;kotor
1162;71876-BZ090;COVER, RECLINING ADJUSTER INSIDE, LH;kotor
1163;71876-BZ080;COVER, RECLINING ADJUSTER INSIDE, LH;kotor
1164;71879-BZ090;COVER, RR SEAT RECLINING, INNER LH;kotor
1165;71694-BZ020;COVER, RR SEAT CUSHION HINGE, LWR LH;kotor
1166;73580-BZ040;BELT ASSY, RR NO.2 SEAT, INNER;kotor
1167;73580-BZ090;BELT ASSY, RR NO.2 SEAT, INNER;kotor
1168;73580-BZ030;BELT ASSY, RR NO.2 SEAT, INNER ;kotor
1169;71970-BZ230;HEADREST ASSY, NO.2 SEAT;kotor
1170;71970-BZ240;HEADREST ASSY, NO.2 SEAT;kotor
1171;71940 -BZF00 ;HEADREST ASSY, NO.2 SEAT BENCH ;kotor
1172;72994-BZ020;COVER, RR SEAT BACK LH;kotor
1173;72921-BZ010;STRAP, 3RD SEAT;kotor
1174;71930-OK050;Support Assy  FR Seat Headrest;kotor
1175;71931-OK040;Support FR seat Headrest RH;kotor
1176;71693-BZ040;COVER, RR SEAT CUSHION HINGE, LWR RH;kotor
1177;71843-BZ010;COVER, RR SEAT RECLINING, NO.2 RH;kotor
1178;71875-BZ100;COVER, RECLINING ADJUSTER INSIDE, RH;kotor
1179;71875-BZ110;COVER, RECLINING ADJUSTER INSIDE, RH;kotor
1180;71878-BZ090;COVER, RR SEAT RECLINING, INNER RH;kotor
1181;71693-BZ050;COVER, RR SEAT CUSHION HINGE, LWR RH;kotor
1182;72991-BZ250;COVER, FR SEAT CUSHION;kotor
1183;72694-BZ240;COVER, RR SEAT CUSHION LOCK;kotor
