id;line_no;pos_posting;pos_picking;rack_no;picking_no;box_no;posting_no;child_part_no;child_part_name;supplier;qr_supplier;qty_pack;min1;min2;normal;over;status;image_part
1;7;POSTING1_L7;SMALL1_L7;1;1;8;1;72266-BZ020-C0;COVER, SEAT TRACK UPR RAIL, LH;KAWAI KASEI;;40;1;8;0;0;Active;
2;7;POSTING1_L7;SMALL1_L7;2;2;2;2;71812-BZ340-C0;SHIELD, FR SEAT CUSHION, LH;NISSHO;;14;1;8;0;0;Active;
3;7;POSTING1_L7;SMALL1_L7;3;3;8;3;71812-BZ350-C0;SHIELD, FR SEAT CUSHION, LH;NISSHO;;16;1;8;0;0;Active;
4;7;POSTING1_L7;SMALL1_L7;4;4;2;4;71868-BZ020-C0;SHIELD, FR SEAT CUSHION, LH;APIK;;12;1;8;0;0;Active;
5;7;POSTING1_L7;SMALL1_L7;5;5;3;5;72993-BZ030;COVER,FR SEAT BACK (P.E Integrated);PUTRA P;;100;1;8;0;0;Active;
6;7;POSTING1_L7;SMALL1_L7;6;6;3;6;72462-BZ090-C0;COVER, VERTICAL ADJUSTER;SANKEIKID;;120;1;8;0;0;Active;
7;7;POSTING1_L7;SMALL1_L7;7;7;7;7;73230-BZE30;BELT ASSY, FR SEAT, INNER ( STD );AUTOLIV, PT;;30;1;8;0;0;Active;
8;7;POSTING1_L7;SMALL1_L7;8;8;5;8;72413-BZ120-C0;LEVER, VERTICAL ADJUSTER LOCK, LH;YUJU;;60;1;8;0;0;Active;
9;7;POSTING1_L7;SMALL1_L7;9;9;8;9;72991-BZ090;COVER FR SEAT (P.E Separated);PUTRA P;;100;1;8;0;0;Active;
10;7;POSTING1_L7;SMALL1_L7;10;10;9;10;72129-BZ110;PROTECTOR, SEAT TRACK LWR RAIL;SANKEIKID;;80;1;8;0;0;Active;
11;7;POSTING1_L7;SMALL1_L7;11;11;6;11;73230-BZE40;BELT ASSY, FR SEAT, INNER ( PASS );AUTOLIV, PT;;30;1;8;0;0;Active;
12;7;POSTING1_L7;SMALL1_L7;12;12;9;12;72413-BZ150-C0;LEVER, VERTICAL ADJUSTER LOCK;TCF;;30;1;8;0;0;Active;
13;7;POSTING1_L7;SMALL1_L7;13;13;8;13;73230-BZE50;BELT ASSY, FR SEAT, INNER ( LIFT );AUTOLIV, PT;;30;1;8;0;0;Active;
14;7;POSTING1_L7;SMALL1_L7;14;14;3;14;72552-B1010;COVER, RECLINING HINGE, LH;FJIK INJECTION;;200;1;8;0;0;Active;
15;7;POSTING1_L7;SMALL1_L7;15;15;5;15;72992-BZ050-C0;COVER, FR SEAT CUSHION;APIK;;20;1;8;0;0;Active;
16;7;POSTING1_L7;SMALL1_L7;16;16;7;16;72526-BZ110-C0;HANDLE, RECLINING ADJUSTER RELEASE, LH;NISSHO;;30;1;8;0;0;Active;
17;7;POSTING1_L7;SMALL1_L7;17;17;4;17;71832-BZ100-C0;COVER, FR SEAT HINGE, LH;SANKEIKID;;40;1;8;0;0;Active;
18;7;POSTING1_L7;SMALL1_L7;18;18;8;18;71930-B2030-C0;SUPPORT ASSY, FR SEAT HEADREST;NISSHO;;60;1;8;0;0;Active;
19;7;POSTING1_L7;SMALL1_L7;19;19;9;19;71931-B2030-C0;SUPPORT, FR SEAT HEADREST;NISSHO;;60;1;8;0;0;Active;
20;7;POSTING1_L7;SMALL1_L7;20;20;4;20;71812-BZ280;SHIELD, FR SEAT CUSHION, LH;FJIK INJECTION;;11;1;8;0;0;Active;
21;7;POSTING1_L7;SMALL1_L7;21;21;2;21;73230-BZC00;BELT ASSY FR SEAT INNER PASSANGER;TRSI;;30;1;8;0;0;Active;
22;7;POSTING1_L7;SMALL1_L7;22;-;3;-;90041-19920;BOLT W/WASHER;NITTO ALAM;;250;1;8;0;0;Active;
23;7;POSTING1_L7;SMALL1_L7;23;-;6;-;90041-82003;NUT W/WASHER;KCF;;500;1;8;0;0;Active;
24;7;POSTING1_L7;SMALL1_L7;24;22;2;22;73230-BZB90;BELT ASSY FR SEAT INNER STD;TRSI;;30;1;8;0;0;Active;
25;7;POSTING1_L7;SMALL1_L7;25;-;3;-;A974-87402;SCREW, BINDING TAPPING (Brkt Adjuster );NITTO ALAM;;5000;1;8;0;0;Active;
26;7;POSTING1_L7;SMALL1_L7;26;-;8;-;90044-68185-C1;CLIP;NIFCO;;1000;1;8;0;0;Active;
27;7;POSTING1_L7;SMALL1_L7;27;-;8;-;84139-B1010;SCREW,TAPPING (STN 5 );SAGA;;5000;1;8;0;0;Active;
28;7;POSTING1_L7;SMALL1_L7;28;23;6;23;71910-BZF90;HEADREST ASSY, FR SEAT;FJI SC-2;;66;1;8;0;0;Active;
29;7;POSTING1_L7;SMALL1_L7;29;24;1;24;71910-BZM00;HEADREST ASSY, FR SEAT;FJI SC-2;;66;1;8;0;0;Active;
30;7;POSTING1_L7;SMALL1_L7;30;25;6;25;71910-BZG50;HEADREST ASSY FR SEAT;SC 2;;66;1;8;0;0;Active;
31;7;POSTING1_L7;SMALL1_L7;31;26;7;26;71910-BZJ70;HEADREST ASSY FR SEAT;SC 2;;66;1;8;0;0;Active;
32;6;POSTING1_L6;SMALL1_L6;1;1;9;1;72265-BZ050-C0;COVER, SEAT TRACK UPR RAIL, RH;KAWAI KASEI;;40;1;8;0;0;Active;
33;6;POSTING1_L6;SMALL1_L6;2;2;6;2;71811-BZ380-C0;SHIELD, FR SEAT CUSHION, RH;NISSHO;;14;1;8;0;0;Active;
34;6;POSTING1_L6;SMALL1_L6;3;3;4;3;71811-BZ390-C0;SHIELD, FR SEAT CUSHION, RH;NISSHO;;16;1;8;0;0;Active;
35;6;POSTING1_L6;SMALL1_L6;4;4;1;4;71867-BZ010-C0;SHIELD, FR SEAT CUSHION, RH;APIK;;12;1;8;0;0;Active;
36;6;POSTING1_L6;SMALL1_L6;5;5;4;5;72993-BZ030;COVER,FR SEAT BACK (P.E Integrated);PUTRA P;;100;1;8;0;0;Active;
37;6;POSTING1_L6;SMALL1_L6;6;6;4;6;72462-BZ070-C0;COVER, VERTICAL ADJUSTER;SANKEIKID;;120;1;8;0;0;Active;
38;6;POSTING1_L6;SMALL1_L6;7;7;4;7;73230-BZE30;BELT ASSY, FR SEAT, INNER;AUTOLIV, PT;;30;1;8;0;0;Active;
39;6;POSTING1_L6;SMALL1_L6;8;8;4;8;72413-BZ110-C0;LEVER, VERTICAL ADJUSTER LOCK;YUJU;;60;1;8;0;0;Active;
40;6;POSTING1_L6;SMALL1_L6;9;9;2;9;72991-BZ090;COVER FR SEAT   ( PE  ( H/REST SEPARATED );PUTRA P;;100;1;8;0;0;Active;
41;6;POSTING1_L6;SMALL1_L6;10;10;9;10;72129-BZ110;PROTECTOR, SEAT TRACK LWR RAIL;SANKEIKID;;80;1;8;0;0;Active;
42;6;POSTING1_L6;SMALL1_L6;11;11;8;11;73230-BZE40;BELT ASSY, FR SEAT, INNER (PASSANGER);AUTOLIV, PT;;30;1;8;0;0;Active;
43;6;POSTING1_L6;SMALL1_L6;12;12;7;12;72413-BZ140-C0;LEVER, VERTICAL ADJUSTER LOCK;TCF;;30;1;8;0;0;Active;
44;6;POSTING1_L6;SMALL1_L6;13;13;4;13;73230-BZE50;BELT ASSY, FR SEAT, INNER (LIFT);AUTOLIV, PT;;30;1;8;0;0;Active;
45;6;POSTING1_L6;SMALL1_L6;14;14;1;14;71876-B2060;COVER, RECLINING ADJUSTER INSIDE, RH;FJIK INJECTION;;200;1;8;0;0;Active;
46;6;POSTING1_L6;SMALL1_L6;15;15;3;15;72991-BZ340-C0;COVER, FR SEAT CUSHION;APIK;;20;1;8;0;0;Active;
47;6;POSTING1_L6;SMALL1_L6;16;16;3;16;72525-BZ140-C0;HANDLE, RECLINING ADJUSTER RELEASE, RH;NISSHO;;30;1;8;0;0;Active;
48;6;POSTING1_L6;SMALL1_L6;17;17;3;17;72551-BZ070-C0;COVER, RECLINING HINGE RH;SANKEIKID;;40;1;8;0;0;Active;
49;6;POSTING1_L6;SMALL1_L6;18;18;3;18;71930-B2030-C0;SUPPORT ASSY, FR SEAT HEADREST;NISSHO;;60;1;8;0;0;Active;
50;6;POSTING1_L6;SMALL1_L6;19;19;9;19;71931-B2030-C0;SUPPORT, FR SEAT HEADREST;NISSHO;;60;1;8;0;0;Active;
51;6;POSTING1_L6;SMALL1_L6;20;20;2;20;71811-BZ320;SHIELD FR SEAT CUSHION RH;FJIK INJECTION;;11;1;8;0;0;Active;
52;6;POSTING1_L6;SMALL1_L6;21;21;5;21;72413-BZ070-C0;LEVER, VERTICAL ADJUSTER LOCK RHD;YUJU;;30;1;8;0;0;Active;
53;6;POSTING1_L6;SMALL1_L6;22;22;7;22;73230-BZB80;BELT ASSY, FR SEAT, INNER (LIFT);TRSI;;1;1;8;0;0;Active;
54;6;POSTING1_L6;SMALL1_L6;23;23;8;23;72266-B1020-C0;COVER, SEAT TRACK UPR RAIL, RH;APIK;;20;1;8;0;0;Active;
55;6;POSTING1_L6;SMALL1_L6;24;24;3;24;73230-BZB80;BELT ASSY, FR SEAT, INNER (STD);TRSI;;1;1;8;0;0;Active;
56;6;POSTING1_L6;SMALL1_L6;25;25;8;25;72462-BZ060;COVER, VERTICAL ADJUSTER;;;1;1;8;0;0;Active;
57;6;POSTING1_L6;SMALL1_L6;26;26;7;26;71867-B1010-C0;SHIELD, FR SEAT CUSHION, FR RH;APIK;;20;1;8;0;0;Active;
58;6;POSTING1_L6;SMALL1_L6;27;27;8;27;71811-BZ330;SHIELD FR SEAT CUSHION RH;FJIK INJECTION;;12;1;8;0;0;Active;
59;6;POSTING1_L6;SMALL1_L6;28;;9;;71147-BZ180;SILENCER, SEAT SPRING CUSH;SCL;;300;1;8;0;0;Active;
60;6;POSTING1_L6;SMALL1_L6;29;;9;;73910-BZ080;AIR BAG ASSY, FR SEAT, RH;TOYODA;;6;1;8;0;0;Active;
61;6;POSTING1_L6;SMALL1_L6;30;28;3;28;71910-BZF90;HEADREST ASSY, FR SEAT;FJI SC-2;;66;1;8;0;0;Active;
62;6;POSTING1_L6;SMALL1_L6;31;29;1;29;71910-BZM00;HEADREST ASSY, FR SEAT;FJI SC-2;;66;1;8;0;0;Active;
63;6;POSTING1_L6;SMALL1_L6;32;30;7;30;71910-BZG50;HEADREST ASSY FR SEAT;FJI SC-2;;66;1;8;0;0;Active;
64;6;POSTING1_L6;SMALL1_L6;33;31;3;31;71910-BZJ70;HEADREST ASSY FR SEAT;FJI SC-2;;66;1;8;0;0;Active;
